Type,Node,Serial Number,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Peer IP Address
l3leaf,DC1-LEAF1A,,Ethernet51/1,10.20.0.19/31,spine,DC1-SPINE1,,Ethernet1/1,10.20.0.18/31
l3leaf,DC1-LEAF1A,,Ethernet52/1,10.20.0.21/31,spine,DC1-SPINE2,,Ethernet1/1,10.20.0.20/31
l3leaf,DC1-LEAF1A,,Ethernet53/1,10.20.0.23/31,spine,DC1-SPINE3,,Ethernet1/1,10.20.0.22/31
l3leaf,DC1-LEAF1B,,Ethernet51/1,10.20.0.25/31,spine,DC1-SPINE1,,Ethernet2/1,10.20.0.24/31
l3leaf,DC1-LEAF1B,,Ethernet52/1,10.20.0.27/31,spine,DC1-SPINE2,,Ethernet2/1,10.20.0.26/31
l3leaf,DC1-LEAF1B,,Ethernet53/1,10.20.0.29/31,spine,DC1-SPINE3,,Ethernet2/1,10.20.0.28/31
l3leaf,DC1-LEAF2A,,Ethernet51/1,10.20.0.31/31,spine,DC1-SPINE1,,Ethernet3/1,10.20.0.30/31
l3leaf,DC1-LEAF2A,,Ethernet52/1,10.20.0.33/31,spine,DC1-SPINE2,,Ethernet3/1,10.20.0.32/31
l3leaf,DC1-LEAF2A,,Ethernet53/1,10.20.0.35/31,spine,DC1-SPINE3,,Ethernet3/1,10.20.0.34/31
l3leaf,DC1-LEAF2B,,Ethernet51/1,10.20.0.37/31,spine,DC1-SPINE1,,Ethernet4/1,10.20.0.36/31
l3leaf,DC1-LEAF2B,,Ethernet52/1,10.20.0.39/31,spine,DC1-SPINE2,,Ethernet4/1,10.20.0.38/31
l3leaf,DC1-LEAF2B,,Ethernet53/1,10.20.0.41/31,spine,DC1-SPINE3,,Ethernet4/1,10.20.0.40/31
l3leaf,DC1-LEAF3A,,Ethernet51/1,10.20.0.85/31,spine,DC1-SPINE1,,Ethernet5/1,10.20.0.84/31
l3leaf,DC1-LEAF3A,,Ethernet52/1,10.20.0.87/31,spine,DC1-SPINE2,,Ethernet5/1,10.20.0.86/31
l3leaf,DC1-LEAF3A,,Ethernet53/1,10.20.0.89/31,spine,DC1-SPINE3,,Ethernet5/1,10.20.0.88/31
l3leaf,DC1-LEAF3B,,Ethernet51/1,10.20.0.91/31,spine,DC1-SPINE1,,Ethernet6/1,10.20.0.90/31
l3leaf,DC1-LEAF3B,,Ethernet52/1,10.20.0.93/31,spine,DC1-SPINE2,,Ethernet6/1,10.20.0.92/31
l3leaf,DC1-LEAF3B,,Ethernet53/1,10.20.0.95/31,spine,DC1-SPINE3,,Ethernet6/1,10.20.0.94/31
l3leaf,DC2-LEAF1A,,Ethernet51/1,10.30.0.61/31,spine,DC2-SPINE1,,Ethernet1/1,10.30.0.60/31
l3leaf,DC2-LEAF1A,,Ethernet52/1,10.30.0.63/31,spine,DC2-SPINE2,,Ethernet1/1,10.30.0.62/31
l3leaf,DC2-LEAF1A,,Ethernet53/1,10.30.0.65/31,spine,DC2-SPINE3,,Ethernet1/1,10.30.0.64/31
l3leaf,DC2-LEAF1B,,Ethernet51/1,10.30.0.67/31,spine,DC2-SPINE1,,Ethernet2/1,10.30.0.66/31
l3leaf,DC2-LEAF1B,,Ethernet52/1,10.30.0.69/31,spine,DC2-SPINE2,,Ethernet2/1,10.30.0.68/31
l3leaf,DC2-LEAF1B,,Ethernet53/1,10.30.0.71/31,spine,DC2-SPINE3,,Ethernet2/1,10.30.0.70/31
l3leaf,DC2-LEAF2A,,Ethernet51/1,10.30.0.73/31,spine,DC2-SPINE1,,Ethernet3/1,10.30.0.72/31
l3leaf,DC2-LEAF2A,,Ethernet52/1,10.30.0.75/31,spine,DC2-SPINE2,,Ethernet3/1,10.30.0.74/31
l3leaf,DC2-LEAF2A,,Ethernet53/1,10.30.0.77/31,spine,DC2-SPINE3,,Ethernet3/1,10.30.0.76/31
l3leaf,DC2-LEAF2B,,Ethernet51/1,10.30.0.79/31,spine,DC2-SPINE1,,Ethernet4/1,10.30.0.78/31
l3leaf,DC2-LEAF2B,,Ethernet52/1,10.30.0.81/31,spine,DC2-SPINE2,,Ethernet4/1,10.30.0.80/31
l3leaf,DC2-LEAF2B,,Ethernet53/1,10.30.0.83/31,spine,DC2-SPINE3,,Ethernet4/1,10.30.0.82/31
