Node Type,Node,Serial Number,Node Interface,Peer Type,Peer Node,Peer Serial Number,Peer Interface,Node Interface Enabled
l3leaf,DC1-LEAF1A,,Ethernet1,server,DC1-HOST1,,Ethernet1,True
l3leaf,DC1-LEAF1A,,Ethernet49/1,mlag_peer,DC1-LEAF1B,,Ethernet49/1,True
l3leaf,DC1-LEAF1A,,Ethernet50/1,mlag_peer,DC1-LEAF1B,,Ethernet50/1,True
l3leaf,DC1-LEAF1A,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet1/1,True
l3leaf,DC1-LEAF1A,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet1/1,True
l3leaf,DC1-LEAF1A,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet1/1,True
l3leaf,DC1-LEAF1B,,Ethernet1,server,DC1-HOST1,,Ethernet2,True
l3leaf,DC1-LEAF1B,,Ethernet49/1,mlag_peer,DC1-LEAF1A,,Ethernet49/1,True
l3leaf,DC1-LEAF1B,,Ethernet50/1,mlag_peer,DC1-LEAF1A,,Ethernet50/1,True
l3leaf,DC1-LEAF1B,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet2/1,True
l3leaf,DC1-LEAF1B,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet2/1,True
l3leaf,DC1-LEAF1B,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet2/1,True
l3leaf,DC1-LEAF2A,,Ethernet1,server,DC1-HOST2,,Ethernet1,True
l3leaf,DC1-LEAF2A,,Ethernet49/1,mlag_peer,DC1-LEAF2B,,Ethernet49/1,True
l3leaf,DC1-LEAF2A,,Ethernet50/1,mlag_peer,DC1-LEAF2B,,Ethernet50/1,True
l3leaf,DC1-LEAF2A,,Ethernet51/1,spine,DC1-SPINE1,,Ethernet3/1,True
l3leaf,DC1-LEAF2A,,Ethernet52/1,spine,DC1-SPINE2,,Ethernet3/1,True
l3leaf,DC1-LEAF2A,,Ethernet53/1,spine,DC1-SPINE3,,Ethernet3/1,True
